PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
202328,Greg,Monroe,Greg Monroe,PF-C,81.75,6' 9.75'',246.6,86.25,7' 2.25'',108.5,9' 0.5'',2010,1,7
202350,Daniel,Orton,Daniel Orton,C,80.75,6' 8.75'',269.2,88.25,7' 4.25'',110.5,9' 2.5'',2010,1,29
12334,Artsiom,Parakhouski,Artsiom Parakhouski,C,82.25,6' 10.25'',268.2,85,7' 1'',109.5,9' 1.5'',2010,-1,-1
202335,Patrick,Patterson,Patrick Patterson,PF,80,6' 8'',239.6,85.25,7' 1.25'',107,8' 11'',2010,1,14
202360,Andy,Rautins,Andy Rautins,SG,76.25,6' 4.25'',191.6,79,6' 7'',100,8' 4'',2010,2,38
12338,Ryan,Richards,Ryan Richards,PF,82.5,6' 10.5'',230.2,85.5,7' 1.5'',110,9' 2'',2010,2,49
202383,Stanley,Robinson,Stanley Robinson,SF,78.5,6' 6.5'',213.2,84,7' 0'',107.5,8' 11.5'',2010,2,59
202336,Larry,Sanders,Larry Sanders,PF-C,81.25,6' 9.25'',222.4,89.75,7' 5.75'',112,9' 4'',2010,1,15
202362,Lance,Stephenson,Lance Stephenson,SG,76.5,6' 4.5'',227,82.5,6' 10.5'',103,8' 7'',2010,2,40
12343,Mikhail,Torrance,Mikhail Torrance,PG,76,6' 4'',208.8,79.5,6' 7.5'',103,8' 7'',2010,-1,-1
202323,Evan,Turner,Evan Turner,SG,77.75,6' 5.75'',213.8,80,6' 8'',103.5,8' 7.5'',2010,1,2
202327,Ekpe,Udoh,Ekpe Udoh,PF,80.75,6' 8.75'',237.4,88.5,7' 4.5'',106.5,8' 10.5'',2010,1,6
12346,Jarvis,Varnado,Jarvis Varnado,PF-C,80.25,6' 8.25'',210.2,87.5,7' 3.5'',109.5,9' 1.5'',2010,2,41
202322,John,Wall,John Wall,PG,74.75,6' 2.75'',195.6,81.25,6' 9.25'',101.5,8' 5.5'',2010,1,1
