BIG_BOARD,NAME,GRADE,POSITION,COLLEGE,COLLEGE_YEAR,DRAFT_YEAR
30,JefferyTaylor,92,SF,Vanderbilt,Sr.,2012
31,FabMelo,90,C,Syracuse,So.,2012
32,JaredCunningham,90,SG,Oregon St.,Jr.,2012
33,FestusEzeli,89,C,Vanderbilt,Sr.,2012
34,DraymondGreen,89,SF/PF,Michigan St.,Sr.,2012
35,EvanFournier,89,SG,Union Poitiers Basket 86,1992,2012
36,FurkanAldemir,89,PF,Galatasaray,1991,2012
37,DariusMiller,89,SF,Kentucky,Sr.,2012
38,KrisJoseph,89,SF,Syracuse,Sr.,2012
39,KevinMurphy,90,SG,Tennessee Tech,Sr.,2012
40,KimEnglish,88,SG,Missouri,Sr.,2012
41,DrewGordon,90,PF,New Mexico,Sr.,2012
42,KostasPapanikolaou,89,SF,Olympiacos,1990,2012
43,MikeScott,89,PF,Virginia,Sr.,2012
44,DariusJohnson-Odom,87,SG,Marquette,Sr.,2012
45,JaMychalGreen,89,PF,Alabama,Sr.,2012
46,WilliamBuford,88,SG,Ohio St.,Sr.,2012
47,HollisThompson,89,SG,Georgetown,Jr.,2012
48,TomasSatoransky,89,PG/SG,Cajasol Sevilla,1991,2012
49,TornikeShengelia,86,SF,Belgacom Spirou,1991,2012
50,KevinJones,90,PF,West Virginia,Sr.,2012
51,QuincyAcy,86,PF,Baylor,Sr.,2012
52,RobertSacre,89,C,Gonzaga,Sr.,2012
53,ChrisJohnson,87,SG,Dayton,Sr.,2012
54,AlexYoung,91,SG/SF,IUPUI,Sr.,2012
55,MaalikWayns,89,PG,Villanova,Jr.,2012
56,HenrySims,0,C,Georgetown,Sr.,2012
57,CameronMoore,88,PF,UAB,Sr.,2012
58,TerranceHenry,74,SF/PF,Mississippi,Sr.,2012
59,MilesPlumlee,86,PF/C,Duke,Sr.,2012
60,JosepFranch,88,PG,UCAM Murcia,1991,2012
61,RamoneMoore,88,SG,Temple,Sr.,2012
62,JustinHamilton,88,C,LSU,Jr.,2012
63,TyshawnTaylor,86,PG/SG,Kansas,Sr.,2012
64,ScottMachado,86,PG,Iona,Sr.,2012
65,KyleO'Quinn,0,PF,Norfolk St.,Sr.,2012
66,TonyMitchell,88,SF,Alabama,Jr.,2012
67,OrlandoJohnson,0,SF,UC Santa Barbara,Sr.,2012
68,BernardJames,87,PF,Florida St.,Sr.,2012
69,MarcusDenmon,0,PG/SG,Missouri,Sr.,2012
70,XavierGibson,86,PF,Florida St.,Sr.,2012
71,HerbPope,0,PF,Seton Hall,Sr.,2012
72,J'CovanBrown,86,PG/SG,Texas,Jr.,2012
73,LeonRadosevic,87,PF,EA7 Milano,1990,2012
74,JaeCrowder,71,SF/PF,Marquette,Sr.,2012
75,ReggieHamilton,86,PG,Oakland,Sr.,2012
76,IlkanKaraman,87,PF,Galatasaray,1990,2012
77,RobbieHummel,87,SF,Purdue,Sr.,2012
78,DeeBost,0,PG,Mississippi St.,Sr.,2012
79,TuHolloway,86,PG,Xavier,Sr.,2012
80,MitchellWatt,87,PF,Buffalo,Sr.,2012
81,ChaceStanback,0,SG/SF,UNLV,Sr.,2012
82,YancyGates,88,PF/C,Cincinnati,Sr.,2012
83,RakimSanders,85,SF,Fairfield,Sr.,2012
84,GregMangano,87,PF/C,Yale,Sr.,2012
85,EliHolman,0,PF,Detroit,Sr.,2012
86,AlenOmic,0,C,Union Olimpija,1992,2012
87,RicardoRatliffe,0,PF,Missouri,Sr.,2012
88,BradfordBurgess,0,SG/SF,VCU,Sr.,2012
89,CarlonBrown,0,SG,Colorado,Sr.,2012
90,GarrettStutz,0,C,Wichita State,Sr.,2012
91,DionDixon,0,SG,Cincinnati,Sr.,2012
92,CasperWare,86,PG,Long Beach State,Sr.,2012
93,CharlieWestbrook,0,SG,USA,Sr.,2012
94,KennyFrease,0,C,Xavier,Sr.,2012
95,ZackRosen,0,PG,Pennsylvania,Sr.,2012
96,KentBazemore,0,SG,Old Dominion,Sr.,2012
97,LarryAnderson,0,SG/SF,Long Beach State,Sr.,2012
98,DarioHunt,0,PF,Nevada,Sr.,2012
99,KyleFogg,0,SG,Arizona,Sr.,2012
100,NickBarbour,0,SG,N/A,Sr.,2012
1,BenMcLemore,98,SG,Kansas,Fr.,2013
2,CodyZeller,95,PF/C,Indiana,So.,2013
3,CJMcCollum,94,PG/SG,Lehigh,Sr.,2013
4,AlexLen,96,C,Maryland,So.,2013
5,VictorOladipo,94,SG/SF,Indiana,Jr.,2013
6,NerlensNoel,95,PF/C,Kentucky,Fr.,2013
7,OttoPorter,94,SF,Georgetown,So.,2013
8,AnthonyBennett,94,SF/PF,UNLV,Fr.,2013
9,LucasNogueira,94,PF/C,Estudiantes,1992,2013
10,DennisSchroder,93,PG,New Yorker Phantoms Braunschweig,1993,2013
11,TreyBurke,93,PG,Michigan,So.,2013
12,KentaviousCaldwell-Pope,93,SG,Georgia,So.,2013
13,StevenAdams,92,C,Pittsburgh,Fr.,2013
14,MichaelCarter-Williams,92,PG,Syracuse,So.,2013
15,GiannisAdetokoubo,92,SF,Filathlitikos,1994,2013
16,TimHardaway,92,SG,Michigan,Jr.,2013
17,ShabazzMuhammad,92,SF,UCLA,Fr.,2013
18,KellyOlynyk,92,C,Gonzaga,Jr.,2013
19,TonyMitchell,0,SF/PF,North Texas,So.,2013
