,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
191,Michael Olowokandi,2700000,1998,Center,45,28.5,7.0,1.0,0,0.1459459459459459
192,Anthony Parker,867120,1998,Shooting Guard and Small Forward,2,1.4,-66.7,21.0,1,0.0468713513513513
193,Andrae Patterson,287500,1998,Power Forward,35,8.1,7.3,46.0,0,0.0155405405405405
194,Ruben Patterson,628500,1998,Shooting Guard and Small Forward,24,5.9,6.4,31.0,0,0.0339729729729729
195,Paul Pierce,1165000,1998,Shooting Guard and Small Forward,48,34.0,11.6,10.0,0,0.0629729729729729
196,Scot Pollard,940920,1998,Center,16,16.2,11.1,19.0,1,0.0508605405405405
197,Scot Pollard,350000,1998,Center,16,16.2,11.1,19.0,1,0.0508605405405405
198,Mark Pope,382000,1998,Small Forward and Power Forward,4,6.3,-21.7,52.0,2,0.0206486486486486
199,Vitaly Potapenko,1339000,1998,Center,50,27.9,8.9,12.0,2,0.0723783783783783
200,Rodrick Rhodes,639300,1998,Small Forward and Shooting Guard,13,12.0,-4.2,24.0,1,0.0345567567567567
201,Malik Rose,425000,1998,Small Forward and Power Forward,47,12.9,10.7,44.0,2,0.0229729729729729
202,Casey Shaw,287500,1998,Center,9,1.5,-30.0,37.0,0,0.0155405405405405
203,Miles Simon,287500,1998,Shooting Guard,5,3.7,-5.9,42.0,0,0.0155405405405405
204,Brian Skinner,653500,1998,Center and Power Forward,21,12.2,8.2,22.0,0,0.0353243243243243
205,Charles Smith,4375143,1998,Power Forward and Small Forward,23,13.7,1.7,26.0,1,0.2364942162162162
206,Charles Smith,677080,1998,Shooting Guard,23,13.7,1.7,26.0,1,0.2364942162162162
207,Ryan Stack,287500,1998,Power Forward,18,11.2,3.5,48.0,0,0.0155405405405405
208,Vladimir Stepania,543000,1998,Center,23,13.5,4.5,27.0,0,0.0293513513513513
209,Bruno Sundov,287500,1998,Center,3,3.6,-12.5,35.0,0,0.0155405405405405
210,Johnny Taylor,1037000,1998,Small Forward,36,20.1,4.4,17.0,1,0.056054054054054
211,Maurice Taylor,1209000,1998,Small Forward and Center and Power Forward,46,32.7,7.5,14.0,1,0.0653513513513513
212,John Thomas,737000,1998,Power Forward and Center,39,15.2,7.4,25.0,1,0.0398378378378378
213,Tim Thomas,1856000,1998,Power Forward and Small Forward,50,16.3,8.4,7.0,1,0.1003243243243243
214,Robert Traylor,1590000,1998,Power Forward and Center,49,16.0,7.8,6.0,0,0.0859459459459459
215,Keith Van Horn,3054000,1998,Power Forward and Small Forward,42,37.5,13.3,2.0,1,0.165081081081081
216,Jacque Vaughn,691560,1998,Shooting Guard and Point Guard,19,4.5,9.1,27.0,1,0.0373816216216216
217,Antoine Walker,2107000,1998,Power Forward,42,36.9,10.7,6.0,2,0.1138918918918918
218,Samaki Walker,1619880,1998,Power Forward and Center,39,14.5,7.0,9.0,2,0.087561081081081
219,John Wallace,1021000,1998,Small Forward,48,16.9,9.2,18.0,2,0.0551891891891891
220,Eric Washington,520000,1998,Shooting Guard,38,20.1,4.6,46.0,1,0.0281081081081081
221,Bonzi Wells,1100000,1998,Small Forward and Shooting Guard,7,5.1,13.7,11.0,0,0.0594594594594594
222,DeJuan Wheat,350000,1998,Point Guard,46,12.8,8.5,51.0,1,0.0189189189189189
223,Jason Williams,1460000,1998,Point Guard,50,36.1,8.6,7.0,0,0.0789189189189189
224,Jerome Williams,737880,1998,Power Forward and Small Forward,50,23.1,12.6,26.0,2,0.0398854054054054
225,Lorenzen Wright,1923000,1998,Center,48,23.6,9.4,7.0,2,0.1039459459459459
