PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PIE_5_YR
200794,Paul,Millsap,Paul Millsap,PF,78.25,6' 6.25'',258,85.5,7' 1.5'',105.5,8' 9.5'',2006,2005-06,0,2878,Louisiana Tech,21,33,33,34.1,7.8,13.7,0.571,0.2,0.4,0.357,3.8,6.2,0.623,6,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6,12.9
201383,Dwayne,Mitchell,Dwayne Mitchell,SG-SF,74,6' 2'',208,78.5,6' 6.5'',98.5,8' 2.5'',2006,2005-06,0,2867,Louisiana-Lafayette,23,28,28,36.7,6.3,12,0.524,0.5,2,0.25,3.5,5.9,0.59,2.3,5.9,8.2,4.3,2.1,0.3,4.6,2.5,16.6,0
200779,Steve,Novak,Steve Novak,SF,80,6' 8'',216,81.5,6' 9.5'',103,8' 7'',2006,2005-06,0,3742,Marquette,23,31,31,33.8,5.6,11.7,0.477,3.9,8.4,0.467,2.4,2.5,0.974,1.1,4.8,5.9,1.3,0.6,0.1,1,2.1,17.5,11.4
200755,JJ,Redick,JJ Redick,SG,76,6' 4'',190,75.25,6' 3.25'',97.5,8' 1.5'',2006,2005-06,0,3111,Duke,22,36,36,37.1,8.4,17.9,0.47,3.9,9.2,0.421,6.1,7.1,0.863,0.2,1.8,2,2.6,1.4,0.1,2.5,1.5,26.8,9.2
200748,Tyrus,Thomas,Tyrus Thomas,PF-SF,79.25,6' 7.25'',217,87,7' 3'',108,9' 0'',2006,2005-06,0,2863,Louisiana State,19,32,21,25.9,4.8,7.8,0.608,0,0,1,2.8,4.3,0.657,2.8,6.4,9.2,1.3,1,3.1,1.8,2.6,12.3,12.4
201228,CJ,Watson,CJ Watson,PG,72.5,6' 0.5'',171,78,6' 6'',96,8' 0'',2006,2005-06,0,3575,Tennessee,22,30,30,31.9,4.5,9.7,0.467,1.6,3.9,0.422,4.6,5.2,0.878,0.5,2.6,3.1,3.9,2,0.1,2.1,2.6,15.3,8.7
200761,Shawne,Williams,Shawne Williams,SF-PF,79.25,6' 7.25'',227,87,7' 3'',104,8' 8'',2006,2005-06,0,3581,Memphis,20,36,34,27.3,4.3,10.4,0.416,1.3,4.3,0.312,3.2,4,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,7.2
201147,Corey,Brewer,Corey Brewer,SF-SG,78,6' 6'',185,80.25,6' 8.25'',103,8' 7'',2007,2006-07,0,2635,Florida,21,37,37,28.7,4.6,9.6,0.475,1.1,3.2,0.336,3,4.2,0.723,1.1,3.6,4.7,2.9,1.9,0.4,2.5,1.9,13.2,7.6
201166,Aaron,Brooks,Aaron Brooks,PG,70,5' 10'',161,76,6' 4'',94,7' 10'',2007,2006-07,0,3399,Oregon,22,35,35,36.8,6.1,13.2,0.46,2.3,5.7,0.404,3.3,3.9,0.846,0.9,3.4,4.3,4.3,1.4,0.2,2.5,2.5,17.7,0
201144,Mike,Conley,Mike Conley,PG,71,5' 11'',175,77.75,6' 5.75'',94.5,7' 10.5'',2007,2006-07,0,3346,Ohio State,19,39,39,31.6,4.1,7.9,0.518,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,11.5
