PLAYER_ID,SEASON_ID,LEAGUE_ID,ORGANIZATION_ID,SCHOOL_NAME,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
200770,2005-06,00,2535,California-Los Angeles,19.0,37,37,30.4,4.6,11.4,0.41,1.7,5.1,0.333,2.5,3.4,0.717,0.6,2.0,2.6,5.1,1.1,0.2,3.6,1.7,13.5
200751,2005-06,00,3502,Villanova,22.0,33,33,34.7,6.8,16.7,0.411,2.7,7.7,0.35,4.1,5.2,0.791,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2,20.5
200752,2005-06,00,2609,Connecticut,19.0,33,33,30.8,5.7,12.3,0.461,0.8,2.7,0.318,3.1,4.2,0.732,2.0,4.4,6.4,2.1,1.8,1.6,2.5,2.3,15.2
200794,2005-06,00,2878,Louisiana Tech,21.0,33,33,34.1,7.8,13.7,0.571,0.2,0.4,0.357,3.8,6.2,0.623,6.0,7.3,13.3,1.1,1.9,2.3,2.5,3.1,19.6
201383,2005-06,00,2867,Louisiana-Lafayette,23.0,28,28,36.7,6.3,12.0,0.524,0.5,2.0,0.25,3.5,5.9,0.59,2.3,5.9,8.2,4.3,2.1,0.3,4.6,2.5,16.6
200779,2005-06,00,3742,Marquette,23.0,31,31,33.8,5.6,11.7,0.477,3.9,8.4,0.467,2.4,2.5,0.974,1.1,4.8,5.9,1.3,0.6,0.1,1.0,2.1,17.5
200755,2005-06,00,3111,Duke,22.0,36,36,37.1,8.4,17.9,0.47,3.9,9.2,0.421,6.1,7.1,0.863,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5,26.8
200748,2005-06,00,2863,Louisiana State,19.0,32,21,25.9,4.8,7.8,0.608,0.0,0.0,1.0,2.8,4.3,0.657,2.8,6.4,9.2,1.3,1.0,3.1,1.8,2.6,12.3
201228,2005-06,00,3575,Tennessee,22.0,30,30,31.9,4.5,9.7,0.467,1.6,3.9,0.422,4.6,5.2,0.878,0.5,2.6,3.1,3.9,2.0,0.1,2.1,2.6,15.3
200761,2005-06,00,3581,Memphis,20.0,36,34,27.3,4.3,10.4,0.416,1.3,4.3,0.312,3.2,4.0,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2
201147,2006-07,00,2635,Florida,21.0,37,37,28.7,4.6,9.6,0.475,1.1,3.2,0.336,3.0,4.2,0.723,1.1,3.6,4.7,2.9,1.9,0.4,2.5,1.9,13.2
201166,2006-07,00,3399,Oregon,22.0,35,35,36.8,6.1,13.2,0.46,2.3,5.7,0.404,3.3,3.9,0.846,0.9,3.4,4.3,4.3,1.4,0.2,2.5,2.5,17.7
201144,2006-07,00,3346,Ohio State,19.0,39,39,31.6,4.1,7.9,0.518,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3
201162,2006-07,00,2903,Boston College,21.0,30,30,38.4,6.5,11.6,0.562,1.3,2.9,0.443,4.7,6.4,0.743,3.0,5.2,8.3,3.0,1.4,0.3,2.6,2.2,19.0
201142,2006-07,00,3601,Texas,18.0,35,35,35.9,8.7,18.5,0.473,2.3,5.8,0.404,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8
201145,2006-07,00,2620,Georgetown,20.0,37,37,33.3,5.3,10.3,0.513,1.0,2.6,0.375,2.7,3.5,0.775,1.7,4.7,6.4,3.2,0.8,1.2,2.6,2.5,14.3
201150,2006-07,00,3721,Washington,19.0,31,24,28.9,6.2,11.7,0.532,0.0,0.1,0.333,2.4,3.2,0.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9
201143,2006-07,00,2635,Florida,21.0,38,36,27.8,4.9,8.1,0.608,0.0,0.1,0.0,3.4,5.3,0.644,2.5,6.9,9.5,2.2,0.7,1.8,1.8,2.5,13.2
201207,2006-07,00,2727,Boise State,24.0,31,31,32.5,4.2,10.4,0.408,2.6,7.0,0.37,3.7,4.5,0.835,0.5,3.6,4.1,4.0,0.8,0.6,3.1,2.5,14.8
201171,2006-07,00,2815,Purdue,23.0,34,34,30.4,6.4,10.8,0.597,0.1,0.6,0.211,5.9,8.1,0.726,3.0,4.4,7.3,1.2,1.2,0.9,3.0,2.9,18.9
201858,2006-07,00,2832,Kansas State,22.0,35,18,27.5,5.6,12.2,0.46,2.2,5.8,0.386,3.6,4.5,0.799,2.0,2.5,4.4,1.3,0.7,0.2,1.7,2.7,17.1
201177,2006-07,00,3111,Duke,20.0,33,32,35.3,5.0,9.9,0.502,0.2,0.7,0.217,2.9,4.4,0.664,2.1,5.8,7.9,3.5,1.2,2.5,2.4,2.5,13.0
201149,2006-07,00,2635,Florida,22.0,40,40,25.9,4.3,7.2,0.605,0.0,0.0,1.0,3.3,5.0,0.663,2.6,5.9,8.4,2.3,1.1,1.8,2.5,2.3,12.0
201196,2006-07,00,3216,Nevada-Reno,21.0,34,33,30.2,4.1,9.1,0.452,0.6,1.5,0.38,3.5,4.2,0.825,1.1,3.6,4.7,4.7,0.9,0.2,2.5,1.2,12.3
201160,2006-07,00,2586,Colorado State,21.0,30,28,30.2,5.8,10.1,0.579,0.0,0.1,0.0,5.1,6.7,0.77,3.3,6.9,10.1,1.9,0.5,1.6,3.4,3.1,16.8
201155,2006-07,00,3714,Eastern Washington,21.0,29,29,33.3,7.8,17.3,0.453,1.5,5.6,0.267,7.4,8.8,0.846,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3,24.6
201229,2006-07,00,3160,Creighton,22.0,33,33,31.6,4.8,9.5,0.506,0.1,0.6,0.211,3.7,5.7,0.658,2.2,4.4,6.7,1.9,0.7,1.7,2.0,3.1,13.4
201148,2006-07,00,3104,North Carolina,19.0,37,37,27.4,6.2,9.5,0.646,0.0,0.0,,2.4,4.2,0.567,2.1,4.1,6.2,1.0,1.0,1.8,1.6,1.5,14.7
201156,2006-07,00,2534,Southern California,22.0,37,36,33.2,6.5,12.3,0.525,1.2,2.7,0.44,3.4,4.3,0.786,1.2,3.4,4.6,1.4,0.7,0.3,2.4,2.5,17.5
201152,2006-07,00,2664,Georgia Tech,19.0,31,31,29.6,5.7,11.9,0.478,1.3,3.0,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2.0,1.3,0.4,2.2,2.0,14.4
201570,2007-08,00,3769,West Virginia,21.0,36,34,31.6,6.1,13.2,0.462,0.3,1.1,0.268,4.4,5.4,0.814,1.9,4.5,6.4,2.4,0.7,1.5,2.2,2.9,16.9
201589,2007-08,00,2828,Kansas,20.0,40,39,24.7,5.4,9.9,0.543,0.1,0.3,0.167,2.0,2.9,0.702,2.3,4.0,6.3,0.8,0.5,1.3,1.9,3.0,12.8
201571,2007-08,00,3601,Texas,20.0,38,38,37.3,6.4,14.5,0.439,1.9,5.1,0.381,4.6,5.8,0.783,0.5,2.4,2.9,5.8,1.2,0.0,2.8,1.6,19.2
201573,2007-08,00,2507,Arizona,19.0,30,30,35.7,5.8,12.6,0.458,2.0,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7
201563,2007-08,00,2832,Kansas State,19.0,33,33,31.5,9.3,17.5,0.532,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2
201595,2007-08,00,3581,Memphis,24.0,38,33,25.2,2.8,4.4,0.647,0.0,0.0,0.0,1.2,3.1,0.378,3.5,6.0,9.5,0.5,1.1,1.9,1.1,2.8,6.9
201569,2007-08,00,2783,Indiana,19.0,32,32,34.7,5.8,13.3,0.433,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9
201588,2007-08,00,2800,IUPUI,22.0,32,32,36.8,6.9,12.6,0.545,1.5,3.4,0.45,6.2,7.7,0.812,1.5,5.2,6.8,4.3,1.8,0.4,2.9,2.8,21.5
201991,2008-09,00,3576,Tennessee-Martin,24.0,32,32,36.0,9.8,21.8,0.449,3.3,9.3,0.355,4.6,5.3,0.881,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7,27.5
201616,2007-08,00,2828,Kansas,22.0,40,35,24.3,4.3,6.8,0.626,0.1,0.2,0.333,2.6,3.7,0.691,2.0,4.7,6.7,1.1,0.8,0.5,1.3,2.3,11.2
201599,2007-08,00,3608,Texas A&M,19.0,35,21,20.1,3.2,5.2,0.617,0.0,0.0,,1.5,3.4,0.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9
201572,2007-08,00,2571,Stanford,20.0,27,25,30.8,6.8,14.6,0.468,0.0,0.2,0.0,5.7,7.2,0.789,2.9,5.3,8.2,1.4,0.6,2.1,2.1,2.4,19.3
201567,2007-08,00,2535,California-Los Angeles,19.0,39,38,29.6,5.8,10.4,0.559,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5
201564,2007-08,00,2534,Southern California,20.0,33,32,36.8,7.2,16.2,0.442,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4,20.7
201601,2007-08,00,2535,California-Los Angeles,21.0,33,33,29.0,3.5,7.4,0.478,0.2,0.8,0.2,1.5,2.2,0.689,2.2,3.8,6.0,1.5,1.0,0.5,1.9,1.7,8.8
201580,2007-08,00,3216,Nevada-Reno,20.0,33,31,27.3,5.7,10.8,0.529,0.4,1.3,0.333,2.2,4.3,0.525,2.5,4.8,7.3,0.6,0.8,2.8,2.4,2.5,14.1
201781,2007-08,00,2828,Kansas,22.0,40,40,27.5,2.1,5.0,0.424,0.9,2.8,0.318,2.2,2.8,0.779,0.5,2.3,2.8,4.1,2.0,0.4,2.1,1.9,7.3
201565,2007-08,00,3581,Memphis,19.0,40,39,29.2,5.2,10.9,0.477,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9
201566,2007-08,00,2535,California-Los Angeles,19.0,39,34,33.8,4.7,10.0,0.465,0.7,2.0,0.338,2.7,3.8,0.713,1.6,2.4,3.9,4.3,1.6,0.2,2.5,2.4,12.7
202399,2008-09,00,2609,Connecticut,23.0,36,36,34.6,5.3,10.4,0.505,0.0,0.0,0.0,3.1,5.2,0.597,3.2,6.8,9.9,1.7,0.5,1.2,1.8,2.0,13.6
201965,2008-09,00,2506,Arizona State,22.0,35,35,32.5,5.7,8.6,0.66,0.0,0.0,0.0,3.2,4.1,0.779,2.5,5.7,8.2,0.9,0.5,0.9,1.2,2.7,14.5
201971,2008-09,00,3487,Pittsburgh,20.0,35,35,27.3,6.5,10.9,0.593,0.0,0.0,,2.8,4.6,0.605,5.6,6.8,12.3,1.2,1.5,1.0,1.3,2.7,15.7
201978,2008-09,00,2507,Arizona,21.0,35,35,37.6,6.3,13.0,0.48,1.9,4.8,0.399,3.6,4.5,0.801,1.4,4.8,6.2,3.4,1.4,0.5,2.4,1.9,18.0
201947,2008-09,00,2855,Louisville,21.0,37,36,34.3,5.5,11.9,0.457,0.8,2.6,0.326,2.4,3.8,0.647,2.8,5.9,8.7,3.2,1.0,1.4,3.2,1.9,14.2
201954,2008-09,00,2535,California-Los Angeles,21.0,35,35,31.5,5.0,9.8,0.509,1.2,3.0,0.394,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4
201967,2008-09,00,3502,Villanova,22.0,38,38,31.6,6.4,12.2,0.525,0.0,0.1,0.0,3.3,4.7,0.697,2.6,4.9,7.5,1.2,1.2,1.2,2.2,2.7,16.1
201939,2008-09,00,3110,Davidson,21.0,34,34,33.7,9.2,20.2,0.454,3.8,9.9,0.387,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6
201948,2008-09,00,3722,Gonzaga,21.0,34,33,26.3,4.7,9.8,0.477,1.1,2.5,0.429,2.3,3.2,0.706,1.1,5.8,6.8,1.1,0.7,2.1,2.1,2.9,12.7
