,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
169,Sam Jacobson,559000,1998,Point Guard,2,6.0,16.4,26.0,0
170,Jerome James,287500,1998,Center,16,2.6,3.8,36.0,0
171,Antawn Jamison,1940000,1998,Power Forward and Small Forward,47,22.5,11.2,4.0,0
172,Anthony Johnson,1000000,1998,Point Guard and Shooting Guard,49,18.1,8.2,39.0,1
173,Kerry Kittles,1762000,1998,Shooting Guard,46,34.2,8.5,8.0,2
174,Brevin Knight,1092000,1998,Point Guard,39,30.5,12.9,16.0,1
175,Travis Knight,2400000,1998,Center,37,14.3,7.0,29.0,2
176,Raef LaFrentz,2150000,1998,Power Forward and Center,12,32.4,11.0,3.0,0
177,Rashard Lewis,287500,1998,Small Forward and Power Forward,20,7.4,0.0,32.0,0
178,Randy Livingston,287500,1998,Point Guard,1,22.3,16.9,42.0,2
179,Felipe Lopez,600000,1998,Shooting Guard and Point Guard,47,26.0,6.0,24.0,0
180,Tyronn Lue,287500,1998,Point Guard,15,12.7,4.2,23.0,0
181,Stephon Marbury,2562000,1998,Point Guard,49,38.6,13.7,4.0,2
182,Sean Marks,287500,1998,Power Forward and Center,8,3.2,2.5,44.0,0
183,Walter McCarty,975000,1998,Small Forward and Power Forward,32,20.6,4.9,19.0,2
184,Jelani McCoy,287500,1998,Center,26,12.6,12.5,33.0,0
185,Tracy McGrady,1563000,1998,Shooting Guard and Small Forward,49,22.5,13.0,9.0,1
186,Jeff McInnis,350000,1998,Point Guard and Shooting Guard,35,12.1,7.2,37.0,2
187,Roshown McLeod,740000,1998,Small Forward,34,10.3,7.1,20.0,0
188,Ron Mercer,2033000,1998,Small Forward and Shooting Guard,41,37.9,8.6,6.0,1
189,Marko Milic,350000,1998,Shooting Guard and Small Forward,11,4.8,0.0,33.0,1
190,Cuttino Mobley,287500,1998,Shooting Guard and Point Guard,49,29.7,7.1,41.0,0
191,Nazr Mohammed,535000,1998,Center,26,4.6,3.2,29.0,0
192,Steve Nash,1190760,1998,Point Guard,40,31.7,7.4,15.0,2
193,Moochie Norris,350000,1998,Point Guard,12,11.6,4.9,33.0,2
194,Dirk Nowitzki,1472640,1998,Power Forward and Center,47,20.4,7.0,9.0,0
195,Charles O'Bannon,320000,1998,Shooting Guard,18,9.1,8.2,31.0,1
196,Jermaine O'Neal,1075000,1998,Power Forward and Center,36,8.6,8.0,17.0,2
197,Michael Olowokandi,2700000,1998,Center,45,28.5,7.0,1.0,0
198,Anthony Parker,867120,1998,Shooting Guard and Small Forward,2,1.4,-66.7,21.0,1
199,Andrae Patterson,287500,1998,Power Forward,35,8.1,7.3,46.0,0
200,Ruben Patterson,628500,1998,Shooting Guard and Small Forward,24,5.9,6.4,31.0,0
201,Paul Pierce,1165000,1998,Shooting Guard and Small Forward,48,34.0,11.6,10.0,0
202,Scot Pollard,940920,1998,Center,16,16.2,11.1,19.0,1
203,Scot Pollard,350000,1998,Center,16,16.2,11.1,19.0,1
204,Mark Pope,382000,1998,Small Forward and Power Forward,4,6.3,-21.7,52.0,2
205,Vitaly Potapenko,1339000,1998,Center,50,27.9,8.9,12.0,2
206,Rodrick Rhodes,639300,1998,Small Forward and Shooting Guard,13,12.0,-4.2,24.0,1
207,Roy Rogers,862560,1998,Power Forward,0,0.0,0.0,22.0,2
208,Malik Rose,425000,1998,Small Forward and Power Forward,47,12.9,10.7,44.0,2
209,Ansu Sesay,287500,1998,Small Forward,0,0.0,0.0,30.0,0
210,Casey Shaw,287500,1998,Center,9,1.5,-30.0,37.0,0
