,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
4859,Kyle Anderson,1093680,2014,Small Forward,33,10.9,7.1,30.0,0
4860,Ryan Anderson,8491500,2014,Power Forward,61,27.5,9.0,21.0,6
4861,Giannis Antetokounmpo,1873200,2014,Point Guard and Power Forward and Small Forward and Shooting Guard,81,31.4,11.1,15.0,1
4862,Carmelo Anthony,22458000,2014,Small Forward and Power Forward,40,35.7,14.0,3.0,11
4863,Trevor Ariza,8579089,2014,Small Forward and Shooting Guard,82,35.7,9.5,43.0,10
4864,Darrell Arthur,3457149,2014,Small Forward and Power Forward,58,17.0,6.7,27.0,6
4865,Omer Asik,8374646,2014,Center,76,26.1,10.9,36.0,6
4866,D.J. Augustin,3000000,2014,Point Guard,82,23.9,10.0,9.0,6
4867,Jeff Ayres,1828750,2014,Center and Power Forward,51,7.5,9.6,31.0,5
4868,Luke Babbitt,981084,2014,Small Forward and Power Forward,63,13.2,7.2,16.0,4
4869,Cameron Bairstow,507336,2014,Center and Power Forward,18,3.5,-1.9,49.0,0
4870,Leandro Barbosa,1448490,2014,Point Guard and Shooting Guard,66,14.9,9.6,28.0,11
4871,Andrea Bargnani,11500000,2014,Power Forward and Center,29,27.1,10.9,1.0,8
4872,Harrison Barnes,3049920,2014,Power Forward and Small Forward,82,28.3,8.9,7.0,2
4873,Matt Barnes,3396250,2014,Small Forward and Power Forward,76,29.9,6.4,45.0,12
4874,Will Barton,915243,2014,Shooting Guard,58,17.0,10.3,40.0,2
4875,Brandon Bass,6900000,2014,Power Forward and Center,82,23.5,11.0,33.0,9
4876,Nicolas Batum,11765500,2014,Small Forward and Shooting Guard,71,33.5,9.8,25.0,6
4877,Jerryd Bayless,3000000,2014,Point Guard and Shooting Guard,77,22.3,9.0,11.0,6
4878,Bradley Beal,4505280,2014,Shooting Guard,63,33.5,9.2,3.0,2
4879,Michael Beasley,777778,2014,Power Forward and Small Forward,24,21.0,7.8,2.0,6
4880,Michael Beasley,330226,2014,Power Forward and Small Forward,24,21.0,7.8,2.0,6
4881,Marco Belinelli,2873750,2014,Shooting Guard and Small Forward,62,22.4,8.2,18.0,7
4882,Anthony Bennett,5563920,2014,Power Forward,57,15.7,7.9,1.0,1
4883,Patrick Beverley,915243,2014,Point Guard and Shooting Guard,56,30.8,7.1,42.0,5
4884,Bismack Biyombo,3873398,2014,Center,64,19.4,9.5,7.0,3
4885,DeJuan Blair,2000000,2014,Center and Power Forward,29,6.2,5.1,37.0,5
4886,Steve Blake,2077000,2014,Point Guard,81,18.9,7.0,38.0,11
4887,Eric Bledsoe,12173913,2014,Point Guard,81,34.6,13.0,18.0,4
4888,Bojan Bogdanovic,3278000,2014,Small Forward,78,23.8,7.3,31.0,3
4889,Andrew Bogut,12972973,2014,Power Forward and Center,67,23.6,11.3,1.0,9
4890,Matt Bonner,1448490,2014,Power Forward and Center,72,13.0,6.3,45.0,11
4891,Trevor Booker,5000000,2014,Power Forward,79,19.8,10.6,23.0,4
4892,Carlos Boozer,13550000,2014,Center and Power Forward,71,23.8,11.5,34.0,12
4893,Carlos Boozer,3250000,2014,Center and Power Forward,71,23.8,11.5,34.0,12
4894,Chris Bosh,20644400,2014,Power Forward and Center,44,35.4,14.3,4.0,11
4895,Avery Bradley,7191011,2014,Point Guard and Shooting Guard,77,31.5,7.1,19.0,4
4896,Elton Brand,2000000,2014,Power Forward and Center,36,13.5,5.9,1.0,15
4897,Corey Brewer,4702500,2014,Shooting Guard and Small Forward,80,26.1,8.8,7.0,7
4898,Aaron Brooks,1145685,2014,Point Guard,82,23.0,9.2,26.0,7
4899,Kobe Bryant,23500000,2014,Shooting Guard and Small Forward,35,34.5,11.8,13.0,18
4900,Chase Budinger,5000000,2014,Small Forward,67,19.2,8.6,44.0,5
4901,Reggie Bullock,1200720,2014,Shooting Guard and Small Forward,36,9.4,5.5,25.0,1
4902,Trey Burke,2548560,2014,Point Guard,76,30.1,8.5,9.0,1
4903,Alec Burks,3034356,2014,Shooting Guard,27,33.3,8.3,12.0,3
4904,Caron Butler,4500000,2014,Small Forward and Shooting Guard,78,20.8,6.5,10.0,12
4905,Jimmy Butler,2008748,2014,Shooting Guard and Small Forward,65,38.7,13.8,30.0,3
4906,Rasual Butler,1448490,2014,Shooting Guard and Small Forward,75,20.1,8.4,52.0,12
4907,Bruno Caboclo,1458360,2014,Small Forward,8,2.9,-4.2,20.0,0
4908,Nick Calathes,816482,2014,Shooting Guard,58,14.4,9.4,45.0,5
4909,Kentavious Caldwell-Pope,2772480,2014,Shooting Guard,82,31.5,6.5,8.0,1
4910,Isaiah Canaan,816482,2014,Shooting Guard and Point Guard,47,20.0,8.5,34.0,1
4911,Clint Capela,1189200,2014,Center,12,7.5,6.0,25.0,0
4912,DeMarre Carroll,2442455,2014,Small Forward and Power Forward,70,31.3,9.9,27.0,5
4913,Vince Carter,3911981,2014,Small Forward and Shooting Guard,66,16.5,5.8,5.0,16
4914,Michael Carter-Williams,2300040,2014,Point Guard,66,32.6,11.5,11.0,1
4915,Omri Casspi,1063384,2014,Small Forward and Power Forward,67,21.1,10.1,23.0,5
4916,Mario Chalmers,4000000,2014,Point Guard,80,29.6,7.6,34.0,6
4917,Tyson Chandler,14598888,2014,Center and Power Forward,75,30.5,14.1,2.0,13
4918,Wilson Chandler,6757913,2014,Shooting Guard and Small Forward and Power Forward,78,31.7,8.7,23.0,7
4919,Earl Clark,62552,2014,Power Forward and Small Forward,10,9.3,5.4,14.0,5
4920,Jordan Clarkson,507336,2014,Shooting Guard and Point Guard,59,25.0,10.9,46.0,0
4921,Victor Claver,1370000,2014,Small Forward,10,7.6,7.1,22.0,5
4922,Norris Cole,2038206,2014,Point Guard,75,24.4,7.8,28.0,3
4923,Darren Collison,4797664,2014,Point Guard,45,34.8,12.0,21.0,5
4924,Nick Collison,2242003,2014,Power Forward and Center,66,16.7,7.0,12.0,11
4925,Mike Conley,8894216,2014,Point Guard,70,31.8,12.4,4.0,7
4926,DeMarcus Cousins,13701250,2014,Center,59,34.1,18.0,5.0,4
4927,Allen Crabbe,862000,2014,Shooting Guard,51,13.4,5.1,31.0,1
4928,Jamal Crawford,5450000,2014,Shooting Guard and Point Guard,64,26.6,10.3,8.0,14
4929,Jae Crowder,915243,2014,Small Forward,82,20.1,9.2,34.0,2
4930,Dante Cunningham,831942,2014,Power Forward and Small Forward,66,25.0,5.9,33.0,5
4931,Stephen Curry,10629213,2014,Point Guard,80,32.7,17.8,7.0,5
4932,Samuel Dalembert,3867282,2014,Center,32,17.0,8.7,26.0,13
4933,Anthony Davis,5607240,2014,Power Forward and Center,68,36.1,19.2,1.0,2
4934,Ed Davis,981084,2014,Center and Power Forward,79,23.3,12.1,13.0,4
4935,Glen Davis,6600000,2014,Power Forward and Center,74,12.2,6.6,35.0,7
4936,Glen Davis,1227985,2014,Power Forward and Center,74,12.2,6.6,35.0,7
4937,Austin Daye,1063384,2014,Small Forward,34,10.1,6.6,15.0,5
4938,Austin Daye,125104,2014,Small Forward,34,10.1,6.6,15.0,5
4939,Luol Deng,9714461,2014,Power Forward and Small Forward,72,33.6,10.3,7.0,10
4940,DeMar DeRozan,9500000,2014,Shooting Guard,60,35.0,11.5,9.0,5
4941,Boris Diaw,7500000,2014,Power Forward and Shooting Guard,81,24.5,9.5,21.0,11
4942,Gorgui Dieng,1413480,2014,Center and Power Forward,73,30.0,11.2,21.0,1
4943,Spencer Dinwiddie,700000,2014,Point Guard,34,13.4,7.4,38.0,0
4944,Joey Dorsey,948163,2014,Power Forward and Center,69,12.4,5.8,33.0,6
4945,Toney Douglas,268974,2014,Point Guard and Shooting Guard,12,14.7,7.1,29.0,5
4946,Chris Douglas-Roberts,915243,2014,Small Forward and Shooting Guard,12,8.5,1.6,40.0,6
4947,Goran Dragic,7500000,2014,Point Guard and Shooting Guard,78,33.8,11.1,45.0,6
4948,Andre Drummond,2568360,2014,Center,82,30.5,12.5,9.0,2
4949,Jared Dudley,4250000,2014,Small Forward and Power Forward and Shooting Guard,72,23.8,9.1,22.0,7
4950,Tim Duncan,10000000,2014,Center and Power Forward,77,28.9,15.6,1.0,17
4951,Mike Dunleavy,3326235,2014,Small Forward and Shooting Guard and Power Forward,63,29.2,8.1,3.0,12
4952,Kevin Durant,18995624,2014,Power Forward and Small Forward and Shooting Guard,27,33.8,19.4,2.0,7
4953,Cleanthony Early,507336,2014,Small Forward,39,16.6,5.8,34.0,0
4954,Wayne Ellington,1063384,2014,Shooting Guard,65,25.8,8.3,28.0,5
4955,Wayne Ellington,923780,2014,Shooting Guard,65,25.8,8.3,28.0,5
4956,Monta Ellis,8360000,2014,Shooting Guard,80,33.7,9.7,40.0,9
4957,Joel Embiid,4427640,2014,Center,0,0.0,0.0,3.0,0
4958,Tyler Ennis,1590720,2014,Point Guard,33,12.5,5.3,18.0,0
4959,Jeremy Evans,1794871,2014,Power Forward and Small Forward,38,7.0,14.0,55.0,4
4960,Tyreke Evans,10763500,2014,Small Forward and Shooting Guard and Point Guard,79,34.0,11.8,4.0,5
4961,Dante Exum,3615000,2014,Point Guard,82,22.2,3.7,5.0,0
4962,Festus Ezeli,1112880,2014,Center,46,10.9,9.1,30.0,2
4963,Kenneth Faried,2249768,2014,Center and Power Forward,75,27.8,11.6,22.0,3
4964,Jordan Farmar,2077000,2014,Point Guard,36,14.7,6.4,26.0,8
4965,Derrick Favors,12833333,2014,Center and Power Forward,74,30.8,13.8,3.0,4
4966,Raymond Felton,3793693,2014,Point Guard and Shooting Guard,29,9.7,9.2,5.0,9
4967,Landry Fields,6250000,2014,Shooting Guard and Small Forward,26,8.3,6.8,39.0,4
4968,Evan Fournier,1483920,2014,Small Forward and Shooting Guard,58,28.6,7.6,20.0,2
4969,Randy Foye,3135000,2014,Point Guard and Shooting Guard,50,21.7,6.6,7.0,8
4970,Jamaal Franklin,163296,2014,Shooting Guard,3,4.4,0.0,41.0,1
4971,Jamaal Franklin,19914,2014,Shooting Guard,3,4.4,0.0,41.0,1
4972,Jimmer Fredette,948163,2014,Shooting Guard and Point Guard,50,10.2,6.2,10.0,3
4973,Joel Freeland,3013512,2014,Power Forward and Center,48,12.8,8.2,30.0,8
4974,Channing Frye,8175476,2014,Center and Power Forward,75,24.9,6.2,8.0,9
4975,Danilo Gallinari,10854850,2014,Small Forward and Shooting Guard and Power Forward,59,24.2,11.3,6.0,6
4976,Francisco Garcia,1316809,2014,Small Forward and Shooting Guard,14,14.3,1.5,23.0,9
4977,Marc Gasol,15829688,2014,Center,81,33.2,15.1,48.0,7
4978,Pau Gasol,7128000,2014,Center and Power Forward,78,34.4,16.9,3.0,13
4979,Rudy Gay,19317325,2014,Power Forward and Small Forward,68,35.4,13.1,8.0,8
4980,Paul George,15925680,2014,Small Forward and Shooting Guard,6,15.2,10.6,10.0,4
4981,Taj Gibson,8000000,2014,Power Forward,62,27.3,10.0,26.0,5
4982,Manu Ginobili,7000000,2014,Shooting Guard,70,22.7,11.3,57.0,15
4983,Rudy Gobert,1127400,2014,Center,82,26.3,16.0,27.0,1
4984,Drew Gooden,6680000,2014,Small Forward and Center and Power Forward,51,16.9,8.6,4.0,12
4985,Drew Gooden,1448000,2014,Small Forward and Center and Power Forward,51,16.9,8.6,4.0,12
4986,Archie Goodwin,1112280,2014,Point Guard and Shooting Guard,41,13.0,6.5,29.0,1
4987,Aaron Gordon,3992040,2014,Power Forward and Small Forward,47,17.0,7.4,4.0,0
4988,Ben Gordon,4500000,2014,Shooting Guard,56,14.1,7.3,3.0,10
4989,Eric Gordon,14898938,2014,Shooting Guard and Point Guard,61,33.1,7.6,7.0,6
4990,Marcin Gortat,10434782,2014,Power Forward and Center,82,29.9,13.3,57.0,9
4991,Danny Granger,2077000,2014,Small Forward,30,20.4,5.0,17.0,9
4992,Jerami Grant,884879,2014,Small Forward and Power Forward,65,21.2,4.7,39.0,0
4993,Danny Green,4025000,2014,Shooting Guard,81,28.5,10.4,46.0,5
4994,Draymond Green,915243,2014,Small Forward and Power Forward,79,31.5,11.2,35.0,2
4995,Erick Green,507336,2014,Point Guard,43,9.5,6.3,46.0,1
4996,Gerald Green,3500000,2014,Shooting Guard and Small Forward,74,19.5,9.3,18.0,9
4997,Jeff Green,9445000,2014,Small Forward and Power Forward,78,31.5,9.5,5.0,7
4998,Willie Green,1448490,2014,Shooting Guard,52,18.3,5.2,41.0,11
4999,Blake Griffin,17674612,2014,Power Forward,67,35.2,14.6,1.0,5
5000,Jordan Hamilton,150591,2014,Small Forward,14,8.7,5.3,26.0,3
5001,Justin Hamilton,816482,2014,Center,41,17.4,8.4,45.0,2
5002,Tyler Hansbrough,3326235,2014,Power Forward,74,14.3,7.4,13.0,5
5003,Tim Hardaway Jr.,1250640,2014,Shooting Guard,70,24.0,7.9,24.0,1
5004,James Harden,14728844,2014,Shooting Guard and Point Guard,81,36.8,18.4,3.0,5
5005,Maurice Harkless,1887840,2014,Small Forward,45,15.0,4.6,15.0,2
5006,Devin Harris,3878000,2014,Point Guard and Shooting Guard,76,22.2,9.2,5.0,10
5007,Gary Harris,1519200,2014,Shooting Guard,55,13.1,1.7,19.0,0
5008,Joe Harris,884879,2014,Shooting Guard,51,9.7,2.2,33.0,0
5009,Tobias Harris,2380594,2014,Power Forward and Small Forward,68,34.8,11.3,19.0,3
5010,Spencer Hawes,5305000,2014,Power Forward and Center,73,17.5,6.8,10.0,7
5011,Gordon Hayward,14746000,2014,Power Forward and Small Forward,76,34.4,13.9,9.0,4
5012,Brendan Haywood,7798000,2014,Center,22,5.4,5.0,20.0,13
5013,Brendan Haywood,2213688,2014,Center,22,5.4,5.0,20.0,13
5014,Gerald Henderson,6000000,2014,Shooting Guard,80,28.9,9.4,12.0,5
5015,Xavier Henry,1082000,2014,Small Forward and Shooting Guard,9,9.5,0.0,12.0,4
5016,John Henson,1987320,2014,Center and Power Forward,67,18.3,11.2,14.0,2
5017,Roy Hibbert,14898938,2014,Center,76,25.3,10.8,17.0,6
5018,Nene,13000000,2014,Power Forward and Center,67,25.3,9.7,7.0,12
5019,George Hill,8000000,2014,Point Guard,43,29.5,15.1,26.0,6
5020,Jordan Hill,9000000,2014,Center and Power Forward,70,26.8,10.8,8.0,5
5021,Solomon Hill,1302840,2014,Small Forward,82,29.0,7.1,23.0,1
5022,Kirk Hinrich,2730000,2014,Point Guard and Shooting Guard,66,24.4,4.1,7.0,11
5023,Jrue Holiday,9904495,2014,Point Guard and Shooting Guard,40,32.6,11.1,17.0,5
5024,Ryan Hollins,1316809,2014,Center and Power Forward,46,9.6,7.3,50.0,8
5025,Rodney Hood,1290360,2014,Shooting Guard,50,21.3,8.0,23.0,0
5026,Al Horford,12000000,2014,Center,76,30.5,14.5,3.0,7
5027,Dwight Howard,21436271,2014,Power Forward and Center,41,29.8,14.1,1.0,10
5028,Lester Hudson,55774,2014,Shooting Guard and Point Guard,5,11.1,14.6,58.0,5
5029,Robbie Hummel,880000,2014,Small Forward,45,16.5,6.3,58.0,2
5030,Kris Humphries,4300000,2014,Small Forward and Power Forward,64,21.0,11.9,14.0,10
5031,Serge Ibaka,12350000,2014,Power Forward and Center,64,33.1,10.7,24.0,6
5032,Andre Iguodala,12289544,2014,Small Forward and Shooting Guard,77,26.9,9.0,9.0,10
5033,Ersan Ilyasova,7900000,2014,Power Forward,58,22.7,10.6,36.0,9
5034,Damien Inglis,820000,2014,Small Forward,0,0.0,0.0,31.0,0
5035,Kyrie Irving,7070730,2014,Point Guard,75,36.4,12.8,1.0,3
5036,Jarrett Jack,6300000,2014,Shooting Guard and Point Guard,80,28.0,11.0,22.0,9
5037,Pierre Jackson,400000,2014,Point Guard,0,0.0,0.0,42.0,1
5038,Reggie Jackson,2204370,2014,Point Guard,77,29.5,12.8,24.0,3
5039,Bernard James,915243,2014,Center,16,9.9,9.2,33.0,2
5040,Bernard James,236866,2014,Center,16,9.9,9.2,33.0,2
5041,LeBron James,20644400,2014,Shooting Guard and Small Forward and Power Forward,69,36.1,17.1,1.0,11
5042,Al Jefferson,13666667,2014,Power Forward and Center,65,30.6,14.2,15.0,10
5043,Cory Jefferson,507336,2014,Power Forward,50,10.6,8.7,60.0,0
5044,Richard Jefferson,1448490,2014,Small Forward,74,16.8,7.4,13.0,13
5045,John Jenkins,1312920,2014,Shooting Guard,24,12.4,11.7,23.0,2
5046,Brandon Jennings,8000000,2014,Point Guard,41,28.6,12.7,10.0,5
5047,Jonas Jerebko,4500000,2014,Power Forward,75,16.4,10.0,39.0,5
5048,Grant Jerrett,816481,2014,Power Forward,8,6.4,-1.8,40.0,1
5049,Amir Johnson,7000000,2014,Center and Small Forward and Power Forward,75,26.4,9.3,56.0,9
5050,James Johnson,2500000,2014,Power Forward and Small Forward,70,19.6,11.5,16.0,5
5051,Joe Johnson,23180790,2014,Shooting Guard and Small Forward,80,34.9,10.1,10.0,13
5052,Nick Johnson,507336,2014,Shooting Guard,28,9.4,1.9,42.0,0
5053,Wesley Johnson,981084,2014,Shooting Guard and Small Forward,76,29.5,6.8,4.0,4
5054,Dahntay Jones,387632,2014,Small Forward and Shooting Guard,33,3.7,-1.1,20.0,11
5055,James Jones,1448490,2014,Shooting Guard and Small Forward,57,11.7,5.6,49.0,11
5056,Terrence Jones,1618680,2014,Power Forward,33,27.0,11.3,18.0,2
5057,DeAndre Jordan,11440124,2014,Center,82,34.4,13.2,35.0,6
5058,Jerome Jordan,915243,2014,Center,44,8.7,9.3,44.0,4
5059,Cory Joseph,2023261,2014,Point Guard and Shooting Guard,79,18.3,11.0,29.0,3
5060,Chris Kaman,4800000,2014,Center,74,18.9,12.4,6.0,11
5061,Sergey Karasev,1533840,2014,Shooting Guard and Small Forward,33,16.8,6.2,19.0,1
5062,Ryan Kelly,1650000,2014,Power Forward,52,23.7,5.3,48.0,1
5063,Michael Kidd-Gilchrist,5016960,2014,Small Forward and Power Forward,55,28.9,11.0,2.0,2
5064,Andrei Kirilenko,3326235,2014,Small Forward and Power Forward,7,5.2,3.0,24.0,15
5065,Brandon Knight,3553917,2014,Point Guard and Shooting Guard,63,32.3,12.9,8.0,3
5066,Kyle Korver,6253521,2014,Small Forward and Shooting Guard and Power Forward,75,32.2,9.7,51.0,11
5067,Kosta Koufos,3000000,2014,Center,81,16.6,11.1,23.0,6
5068,Ognjen Kuzmic,816482,2014,Center,16,4.5,8.5,52.0,2
5069,Jeremy Lamb,2202000,2014,Small Forward and Shooting Guard,47,13.5,11.9,12.0,2
5070,Carl Landry,6500000,2014,Power Forward,70,17.0,9.6,31.0,7
5071,Shane Larkin,1606080,2014,Point Guard,76,24.5,7.8,18.0,1
5072,Joffrey Lauvergne,1790280,2014,Center and Power Forward,24,11.2,6.3,55.0,1
5073,Zach LaVine,2055840,2014,Point Guard and Shooting Guard,77,24.7,7.9,13.0,0
5074,Ty Lawson,11595506,2014,Point Guard,75,35.5,12.5,18.0,5
5075,Ricky Ledo,816482,2014,Shooting Guard,17,14.4,3.3,43.0,1
5076,Ricky Ledo,96056,2014,Shooting Guard,17,14.4,3.3,43.0,1
5077,Courtney Lee,5450000,2014,Shooting Guard,77,30.6,7.2,22.0,6
5078,David Lee,15012000,2014,Power Forward and Center and Small Forward,49,18.5,12.1,30.0,9
5079,Alex Len,3649920,2014,Center,69,22.0,8.4,5.0,1
5080,Kawhi Leonard,2894059,2014,Small Forward,64,31.8,14.8,15.0,3
5081,Meyers Leonard,2317920,2014,Power Forward and Center,55,15.4,11.6,11.0,2
5082,Jon Leuer,967500,2014,Center and Power Forward,63,13.1,9.3,40.0,3
5083,Damian Lillard,3340920,2014,Point Guard,82,35.7,13.7,6.0,2
5084,Shaun Livingston,5305000,2014,Shooting Guard and Point Guard,78,18.8,10.0,4.0,10
5085,Brook Lopez,15719063,2014,Center,72,29.2,13.0,10.0,6
5086,Robin Lopez,6124728,2014,Center,59,27.8,8.9,15.0,6
5087,Kevin Love,15719062,2014,Center and Power Forward,75,33.8,13.5,5.0,6
5088,Kyle Lowry,12000000,2014,Point Guard,70,34.5,12.6,24.0,8
5089,Shelvin Mack,2433333,2014,Shooting Guard and Point Guard,55,15.1,10.1,34.0,3
5090,Ian Mahinmi,4000000,2014,Center,61,18.8,7.3,28.0,9
5091,Devyn Marble,884879,2014,Shooting Guard,16,13.0,3.5,56.0,0
5092,Shawn Marion,1448490,2014,Small Forward and Power Forward,57,19.3,7.4,9.0,15
5093,Kendall Marshall,915243,2014,Point Guard,28,14.9,9.3,13.0,2
5094,Kenyon Martin,414551,2014,Power Forward and Center,11,9.5,5.6,1.0,14
5095,Kevin Martin,6792500,2014,Point Guard and Shooting Guard,39,33.4,10.5,26.0,10
5096,Jason Maxiell,1316809,2014,Center and Power Forward,61,14.4,5.8,26.0,9
5097,O.J. Mayo,8000000,2014,Shooting Guard,71,23.9,9.4,3.0,6
5098,Luc Mbah a Moute,4382576,2014,Small Forward and Power Forward,67,28.6,8.1,37.0,6
5099,Ray McCallum,816482,2014,Point Guard,68,21.1,8.3,36.0,1
5100,CJ McCollum,2421000,2014,Shooting Guard,62,15.7,7.9,10.0,1
5101,Doug McDermott,2277960,2014,Small Forward,36,8.9,4.4,11.0,0
5102,Mitch McGary,1400040,2014,Power Forward,32,15.2,10.4,21.0,0
5103,JaVale McGee,11250000,2014,Center,23,11.1,8.6,18.0,6
5104,Ben McLemore,3026280,2014,Shooting Guard,82,32.6,6.4,7.0,1
5105,Josh McRoberts,5305000,2014,Center and Power Forward,17,17.4,7.4,37.0,7
5106,Jodie Meeks,6000000,2014,Shooting Guard,60,24.4,8.7,41.0,5
5107,Khris Middleton,915243,2014,Shooting Guard and Small Forward,79,30.1,11.6,39.0,2
5108,Andre Miller,4625000,2014,Point Guard and Shooting Guard,81,15.5,10.5,8.0,15
5109,Darius Miller,400000,2014,Small Forward,5,8.7,-8.3,46.0,2
5110,Mike Miller,6600000,2014,Shooting Guard and Small Forward,52,13.5,3.7,5.0,14
5111,Mike Miller,2732000,2014,Shooting Guard and Small Forward,52,13.5,3.7,5.0,14
5112,Quincy Miller,150000,2014,Power Forward,10,12.0,4.6,38.0,2
5113,Quincy Miller,107676,2014,Power Forward,10,12.0,4.6,38.0,2
5114,Quincy Miller,107676,2014,Power Forward,10,12.0,4.6,38.0,2
5115,Patty Mills,3842105,2014,Point Guard,51,15.7,8.3,55.0,5
5116,Paul Millsap,9500000,2014,Power Forward,73,32.7,13.0,47.0,8
5117,Nikola Mirotic,5305000,2014,Power Forward,82,20.2,13.1,23.0,3
5118,Nazr Mohammed,1448490,2014,Center,23,5.6,6.4,29.0,16
5119,Greg Monroe,5479934,2014,Power Forward and Center,69,31.0,15.0,7.0,4
5120,E'Twaun Moore,948163,2014,Point Guard and Shooting Guard,56,9.0,6.0,55.0,3
5121,Darius Morris,702756,2014,Point Guard,38,7.9,4.9,41.0,3
5122,Markieff Morris,2989239,2014,Power Forward,82,31.5,10.7,13.0,3
5123,Donatas Motiejunas,1483920,2014,Power Forward,71,28.7,9.7,20.0,3
5124,Shabazz Muhammad,1971960,2014,Small Forward and Shooting Guard,38,22.8,11.9,14.0,1
5125,Mike Muscala,816482,2014,Power Forward and Center,40,12.6,11.0,44.0,1
5126,Shabazz Napier,1238640,2014,Point Guard,51,19.8,7.5,24.0,0
5127,Jameer Nelson,2732000,2014,Point Guard,63,22.3,8.1,20.0,10
5128,Andrew Nicholson,1545840,2014,Power Forward,40,12.3,6.7,19.0,2
5129,Joakim Noah,12200000,2014,Center,67,30.6,11.1,9.0,7
5130,Nerlens Noel,3315120,2014,Power Forward and Center,75,30.8,10.8,6.0,1
5131,Lucas Nogueira,1762680,2014,Center,6,3.8,3.6,16.0,1
5132,Steve Novak,3445946,2014,Power Forward and Small Forward,35,5.6,4.5,32.0,8
5133,Dirk Nowitzki,7974482,2014,Power Forward and Center,77,29.6,13.3,9.0,16
5134,Jusuf Nurkic,1762680,2014,Center,62,17.8,8.8,16.0,0
5135,Kyle O'Quinn,915243,2014,Center and Power Forward,51,16.2,10.1,49.0,2
5136,Victor Oladipo,4978200,2014,Shooting Guard and Point Guard,72,35.7,9.9,2.0,1
5137,Kelly Olynyk,2075760,2014,Center and Power Forward,64,22.2,9.4,13.0,1
5138,Zaza Pachulia,5200000,2014,Center,73,23.7,11.2,42.0,11
5139,Kostas Papanikolaou,4800000,2014,Small Forward,43,18.5,5.6,48.0,2
5140,Jabari Parker,4930560,2014,Power Forward,25,29.5,10.0,2.0,0
5141,Tony Parker,12500000,2014,Point Guard,68,28.7,10.2,28.0,13
5142,Chandler Parsons,14700000,2014,Small Forward,66,33.1,10.5,38.0,3
5143,Patrick Patterson,5831326,2014,Power Forward,81,26.6,9.9,14.0,4
5144,Chris Paul,20068563,2014,Point Guard,82,34.8,17.3,4.0,9
5145,Elfrid Payton,2397840,2014,Point Guard,82,30.3,9.0,10.0,0
5146,Nikola Pekovic,12100000,2014,Center,31,26.3,11.2,31.0,6
5147,Kendrick Perkins,9654342,2014,Center,68,16.9,5.1,27.0,11
5148,Kendrick Perkins,434547,2014,Center,68,16.9,5.1,27.0,11
5149,Paul Pierce,5305000,2014,Shooting Guard and Small Forward,73,26.2,10.1,10.0,16
5150,Mason Plumlee,1357080,2014,Center,82,21.3,10.4,22.0,1
5151,Miles Plumlee,1169880,2014,Center,73,16.4,8.4,26.0,2
5152,Quincy Pondexter,3146068,2014,Small Forward and Shooting Guard,75,23.9,5.7,26.0,4
5153,Dwight Powell,507336,2014,Power Forward and Center,29,8.2,6.8,45.0,0
5154,Tayshaun Prince,7707865,2014,Small Forward,58,24.1,8.9,23.0,12
5155,Julius Randle,2997360,2014,Power Forward and Center,1,13.6,-24.2,7.0,0
5156,Zach Randolph,16500000,2014,Power Forward and Center,71,32.4,14.3,19.0,13
5157,Jason Richardson,6601125,2014,Small Forward and Shooting Guard,19,21.9,9.2,5.0,13
5158,Luke Ridnour,2750000,2014,Point Guard and Shooting Guard,47,14.5,7.3,14.0,11
5159,Austin Rivers,2439840,2014,Point Guard and Shooting Guard,76,20.6,6.4,10.0,2
5160,Andre Roberson,1160880,2014,Shooting Guard and Small Forward,67,19.2,6.0,26.0,1
5161,Glenn Robinson III,507336,2014,Shooting Guard and Small Forward,35,7.5,5.3,40.0,0
5162,Nate Robinson,2106720,2014,Point Guard,42,14.1,6.3,21.0,9
5163,Nate Robinson,154918,2014,Point Guard,42,14.1,6.3,21.0,9
5164,Thomas Robinson,3678360,2014,Power Forward,54,14.8,11.3,5.0,2
5165,Rajon Rondo,12909091,2014,Point Guard,68,29.7,10.8,21.0,8
5166,Derrick Rose,18862875,2014,Point Guard,51,30.0,10.6,1.0,6
5167,Terrence Ross,2793960,2014,Small Forward and Shooting Guard,82,25.5,6.6,8.0,2
5168,Ricky Rubio,5070686,2014,Point Guard,22,31.5,12.4,5.0,5
5169,Brandon Rush,1145685,2014,Shooting Guard and Small Forward,33,8.2,0.5,13.0,6
5170,Robert Sacre,915243,2014,Center,67,16.9,6.2,60.0,2
5171,John Salmons,2000000,2014,Shooting Guard and Small Forward and Point Guard,21,12.8,2.4,26.0,12
5172,John Salmons,1000000,2014,Shooting Guard and Small Forward and Point Guard,21,12.8,2.4,26.0,12
5173,Larry Sanders,11000000,2014,Power Forward and Center,27,21.7,8.4,15.0,4
5174,Dennis Schroder,1690680,2014,Point Guard,77,19.7,11.3,17.0,1
5175,Luis Scola,6541000,2014,Power Forward,81,20.5,13.0,55.0,12
5176,Luis Scola,6172538,2014,Power Forward,81,20.5,13.0,55.0,12
5177,Luis Scola,4868499,2014,Power Forward,81,20.5,13.0,55.0,12
5178,Mike Scott,3333333,2014,Power Forward,68,16.5,10.4,43.0,2
5179,Thabo Sefolosha,4150000,2014,Small Forward and Shooting Guard,52,18.8,10.6,13.0,8
